Impact category,A1,A2,A3,A1-A3,A4,A5,B1,B2,B3,B4,B5,B6,B7,C1-C4,C1,C2,C3,C4,D
human toxicity: non-carcinogenic | comparative toxic unit for human (CTUh),0.0002627487638418721,5.8309957780645166e-05,6.061012001885351e-06,0.0003271197336244026,6.9691277745347955e-06,6.262572121974959e-05,0.0,1.1266225064129094e-05,0.0,0.0,0.0,10.540812931514141,1.6522218754530528e-08,1.872220902840048,1.872217365219446,9.292170366046394e-07,2.1419759674126153e-06,4.6642759780596275e-07,-0.000843248185629727
"human toxicity: non-carcinogenic, inorganics | comparative toxic unit for human (CTUh)",0.00025194807842620877,4.454380593822384e-05,5.886487237872605e-06,0.0003023783716023052,5.037664188897618e-06,6.079177035628627e-05,0.0,9.042595160516232e-06,0.0,0.0,0.0,10.2372938345708,1.5543873896731893e-08,1.8183839355478593,1.8183808100004493,6.716885585196823e-07,1.9985462566388256e-06,4.553125947469097e-07,-0.0008126087634143988
"human toxicity: non-carcinogenic, organics | comparative toxic unit for human (CTUh)",1.080068541566356e-05,1.3766151842421344e-05,1.7452476401273988e-07,2.4741362022097646e-05,1.931463585637181e-06,1.8339508634632704e-06,0.0,2.223629903612884e-06,0.0,0.0,0.0,0.3035190969433326,9.783448577986314e-10,0.053836967292190424,0.05383655521899851,2.575284780849575e-07,1.4342971077378926e-07,1.1115003059053213e-08,-3.063942221532917e-05
ionising radiation: human health | human exposure efficiency relative to u235,486.96870153930456,125.39004496175318,10.11563226937034,622.4743787704282,10.193743373589271,104.8705853953788,0.0,43.12321516034127,0.0,0.0,0.0,17592274.590819653,0.161936703789374,7010877.85482649,7010842.310755616,1.3591657831452362,33.56497628962713,0.6199288010411487,-12531.139288412207
land use | soil quality index,42980.278434690495,40858.98147698335,380.87813588973665,84220.13804756358,5296.1816416609545,4043.1156288541442,0.0,3821.917905159607,0.0,0.0,0.0,662391887.5047097,4.961902672682487,356856696.58810633,356854523.4386337,706.1575522214606,1112.9419497472575,354.0499706582406,-212813.37535637824
material resources: metals/minerals | abiotic depletion potential (ADP): elements (ultimate reserves),0.24772944934817545,0.02450820066035334,0.03104041061401654,0.3032780606225453,0.0021984141294683276,0.319584250984787,0.0,0.00864581855612695,0.0,0.0,0.0,53982.925870788175,2.6837172803941503e-05,1751.4750692845607,1751.472564436788,0.00029312188392911033,0.001900695603869497,0.0003110302850193857,-0.4666458481626443
ozone depletion | ozone depletion potential (ODP),0.0010642944283305335,0.0001488457908203545,6.681386099677301e-07,0.001213808357760856,1.4387968638848059e-05,8.972158843521993e-06,0.0,4.500169347755305e-05,0.0,0.0,0.0,1.1619716472762318,4.56214632870534e-07,1.0477103687897236,1.0476965570991703,1.9183958185130745e-06,1.1597240133263879e-05,2.960546014316387e-07,-0.0006667395581612033
particulate matter formation | impact on human health,0.0011220708752413165,0.0005458171492273756,2.342082022427272e-06,0.0016702301064911193,6.824799085466488e-05,5.887765384272722e-05,0.0,4.974019187956561e-05,0.0,0.0,0.0,4.073156176062488,9.301444982652858e-08,8.569776648801056,8.569757287601925,9.099732113955318e-06,7.889838663637889e-06,2.3716283537919247e-06,-0.0043800196561146
photochemical oxidant formation: human health | tropospheric ozone concentration increase,45.669399994605314,79.14292598087292,0.2993487726224395,125.11167474810067,5.298057930990797,4.951427509421454,0.0,19.69792165681029,0.0,0.0,0.0,520602.73309308366,0.0031543515335750428,364888.51774778316,364886.30187719327,0.7064077241321063,1.298270693042593,0.21119217272046412,-265.17304458864
water use | user deprivation potential (deprivation-weighted water consumption),6797.015589136871,497.1295258993912,61.31023063272843,7355.455345668991,46.411401787468144,635.5646549325699,0.0,235.84644412692063,0.0,0.0,0.0,106625704.03862447,2.755392263719593,35497224.1062631,35497052.63019778,6.188186904995753,157.86166544393615,7.426212974411965,-22897.216748711267
